Brand,Facebook,Instagram,YouTube,_id,fetch
ADCB,https://facebook.com/ADCBOfficial,https://instagram.com/ADCB/,https://www.youtube.com/channel/UCMVM0aPIFiM8gcy9ijR4wJw,6582bfe9c3e995435d6c1b1d,true
ADIB,https://www.facebook.com/ADIB,https://instagram.com/adib_bank/,https://www.youtube.com/channel/UCvEhyYolfYxgPrlROsnopHw,6582bfe9c3e995435d6c1b1e,true
First Abu Dhabi Bank (FAB),https://www.facebook.com/FAB/,https://www.instagram.com/fabconnects/,https://www.youtube.com/channel/UCyXhrKqYwuvsvquPuqgSPrA,6582bfe9c3e995435d6c1b1f,true
Mashreq Bank,https://www.facebook.com/Mashreqbank/,https://www.instagram.com/mashreq/,https://www.youtube.com/channel/UCLVh31_N1g3VkQrTy2QAEbg,6582bfe9c3e995435d6c1b20,true
CBD,https://www.facebook.com/CBDUAE,https://www.instagram.com/cbduae,https://www.youtube.com/channel/UCUG4FKLsqj_yV1mid55AM4Q,6582bfe9c3e995435d6c1b21,true
Citi,https://www.facebook.com/CitiUAE/,https://www.instagram.com/citibank/?igshid=NTc4MTIwNjQ2YQ==,https://www.youtube.com/channel/UCecouTqjpZK0ztcWJNmr9Qg,6582bfe9c3e995435d6c1b22,true
Dubai Islamic Bank (DIB),https://www.facebook.com/dib.uae,https://www.instagram.com/dubai_islamic_bank/,https://www.youtube.com/channel/UC0DEeXS14K4pnpDDGpwtnhg,6582bfe9c3e995435d6c1b23,true
Emirates Islamic Bank,https://www.facebook.com/emiratesislamic,https://www.instagram.com/emiratesislamic,https://www.youtube.com/channel/UCdrZqwAbeRNTTkDhZcuNQ3Q,6582bfe9c3e995435d6c1b24,true
Emirates NBD,https://www.facebook.com/EmiratesNBD/,https://www.instagram.com/emiratesnbd_ae/,https://www.youtube.com/channel/UC11Gu7WzeYtZ4OUoV4GB34w,6582bfe9c3e995435d6c1b25,true
Sharjah Islamic Bank (SIB),https://www.facebook.com/Shjislamicbank,https://www.instagram.com/shjislamicbank/,https://www.youtube.com/channel/UC5yYfKu3AZdQMZpg_xzIEwQ,6582bfe9c3e995435d6c1b26,true
HSBC,https://www.facebook.com/hsbcuae/,https://www.instagram.com/hsbc_uae/?hl=en,https://www.youtube.com/channel/UCt27pLV-NXxl_pFjet5ylew,6582bfe9c3e995435d6c1b27,true
Islamic Development bank,https://www.facebook.com/isdbgroup/,https://www.instagram.com/isdb_stories/,https://www.youtube.com/channel/UC4lRLKYmzVz3BcA26bp_83w,6582bfe9c3e995435d6c1b28,false
RAKBank,https://www.facebook.com/rakbank,https://www.instagram.com/rakbank/,https://www.youtube.com/channel/UCg70VSOut4rA5_KFl-kMZJQ,6582bfe9c3e995435d6c1b29,true
Standard Chartered Bank,https://www.facebook.com/standardchartereduae/,https://www.instagram.com/stanchartuae/,https://www.youtube.com/channel/UCQo6TgFj3dhZDpFVgm8_6Hg,6582bfe9c3e995435d6c1b2a,true
Emirates Development Bank,https://www.facebook.com/EmiratesDevelopmentBank/,https://instagram.com/emiratesdevelopmentbank,https://www.youtube.com/channel/UCJh2iRDP5TdaZLCCWJVOLqQ,6582bfe9c3e995435d6c1b2b,true
wio,https://www.facebook.com/wiobank,https://www.instagram.com/wiobank/,https://www.youtube.com/channel/UCZQRDNEC9Qso8NXU75KmoKQ,6582bfe9c3e995435d6c1b2c,true
LIV Bank,https://www.facebook.com/LivBank/,https://www.instagram.com/livbank/,https://www.youtube.com/channel/UCgUlL4rfer6SGjxAmNagYdA,6582bfe9c3e995435d6c1b2d,true
Mashreq Neo,https://www.facebook.com/MashreqNeo/,https://www.instagram.com/mashreqneo/,https://www.youtube.com/channel/UCKDW8n_M2tuspsf0ZAoDHzQ,6582bfe9c3e995435d6c1b2e,true
YAP,https://www.facebook.com/YAPUAE,https://www.instagram.com/yapuae/,https://www.youtube.com/channel/UC0Z76QcpvkfeUxZH1BEXd5A,6582bfe9c3e995435d6c1b2f,true
